n_nodes,n_edges,avg_degree,avg_clustering,n_sources,n_infected_nodes,n_iterations,percentage_infected,beta,threshold_infected,graph_type,neighbours,prob_reconnect
2085,14546,6.976498800959233,0.0274540958798017,45,2074,4,0.021626817269204353,0.45095587011386806,0.4818766724766775,barabasi_albert,7,0.016255167852856245
1375,6875,5.0,0.27026018829655213,30,1100,4,0.022248749844315005,0.46499942355738183,0.3446202779022673,watts_strogatz,11,0.2671233772251753
1417,5652,3.9887085391672548,0.028353693812031896,36,1389,6,0.025860086896009125,0.30814784835330866,0.7760517733487831,barabasi_albert,4,0.22707858497984584
776,1552,2.0,0.18529700540009808,37,677,12,0.04856010237809707,0.19939066836020886,0.7517664856691748,watts_strogatz,4,0.3007640189698062
493,986,2.0,0.3855307640297505,23,327,13,0.047007338420000495,0.20179486598469648,0.5754233630691703,watts_strogatz,4,0.08844687974101917
3266,16305,4.992345376607471,0.016552068135262384,112,1712,4,0.03452729156246481,0.17295522132619717,0.20313322102762463,barabasi_albert,5,0.38722460028675354
2964,5928,2.0,0.392649090675406,121,2104,7,0.041084350614614726,0.4850242646706365,0.515765620021085,watts_strogatz,5,0.08116119003546551
1832,1831,0.9994541484716157,0.0,27,1157,16,0.015073299478919538,0.20604808107450054,0.5555909226719603,barabasi_albert,1,0.3659548273694382
434,434,1.0,0.0,20,295,54,0.04651614429108549,0.14889327130051194,0.6653973519898895,watts_strogatz,2,0.18879904950177945
2357,4710,1.9983029274501485,0.013778971206880512,109,1762,7,0.04635920729155743,0.2225174853376705,0.5333593983302725,barabasi_albert,2,0.3917480918426892
2454,4904,1.9983700081499594,0.010005006315104552,109,1876,6,0.0445102461219702,0.29137645510114935,0.40051391725228824,barabasi_albert,2,0.060895169243827374
5047,10094,2.0,0.2646617037938608,167,4452,10,0.03309832435856695,0.3291846004868178,0.7543081018145505,watts_strogatz,5,0.1996791801214633
831,1662,2.0,0.08947051744885691,34,313,30,0.04197037694677431,0.03331272311542141,0.35400561148087406,watts_strogatz,5,0.47438347756331606
304,303,0.9967105263157895,0.0,10,135,7,0.03334026957204035,0.2758143873760853,0.32310130958674405,barabasi_albert,1,0.46758104089408214
4044,16176,4.0,0.09209051059941108,198,3345,20,0.049084368995155093,0.03694870169205527,0.7450944078357333,watts_strogatz,9,0.48393199003268006
2117,6351,3.0,0.25576034997385916,80,2045,6,0.03818138866763404,0.4438880618861209,0.731003364461787,watts_strogatz,7,0.2551179547726355
183,183,1.0,0.0,8,104,28,0.04655027417054343,0.4455797676618388,0.5372878054874899,watts_strogatz,2,0.03000640637294333
3329,6658,2.0,0.07782545881073927,113,749,22,0.033974607484125306,0.03238008423274626,0.20046476806386823,watts_strogatz,4,0.4702361367824
368,367,0.9972826086956522,0.0,8,246,13,0.022108197915905826,0.322088463643478,0.5568508685908805,barabasi_albert,1,0.006737174150565628
