,graph_type,neighbours,prob_reconnect,beta,threshold_infected,iterations,percentage_initially_infected,currently_infected
252,watts_strogatz,97,0.16398149543875284,0.009097387936075542,0.3684339850492907,7,0.04104621933935585,1991
253,watts_strogatz,103,0.23765156175952437,0.00907985559791602,0.48267545649863064,7,0.038657196382949226,2702
254,barabasi_albert,15,0.010309459927052123,0.0011719236480020186,0.30744964716996126,50,0.023459598672784323,552
255,watts_strogatz,52,0.08378569539917202,0.0010350828733469944,0.3569416727722631,50,0.028615560108536123,643
256,barabasi_albert,3,0.1805000588379474,0.0020300412541453114,0.4944394445588595,50,0.030299311732554762,22
257,barabasi_albert,51,0.149464048411081,0.00791900067496181,0.417575969286586,7,0.03438677112040228,3121
258,barabasi_albert,54,0.029909658543170986,0.0076384413092484916,0.29951622057066163,6,0.04923899201980917,2224
259,barabasi_albert,2,0.20789036008890022,0.00487803812242222,0.4585209941763478,50,0.021097855974853648,9
260,barabasi_albert,11,0.2062187590354092,0.0016695236221445611,0.48631169892108245,50,0.025245764394709692,772
261,barabasi_albert,20,0.20457970795652572,0.005461685609274611,0.303041595958944,14,0.027975957734795137,535
