,diameter,average_shortest_path_length,average_clustering_coefficient,average_degree,n_nodes,n_edges,avg_degree_centrality
182,4,2.660106013208203,0.05363012328701807,15.866666666666667,960,7616,0.016545012165450124
183,5,3.3025529241213243,0.40902238741187186,16.0,1068,8544,0.014995313964386131
184,4,2.751207131360654,0.048135273666075694,13.900507614213199,985,6846,0.014126532128265448
185,5,3.4139462652439025,0.39025132872614604,14.0,1025,7175,0.013671875
186,5,3.169452323516157,0.3668105615485668,16.0,952,7616,0.016824395373291272
187,5,3.3542745791131354,0.37460461418270585,14.0,940,6580,0.014909478168264111
188,4,2.728984881209503,0.04833727339847521,13.894168466522679,926,6433,0.015020722666511005
189,5,3.2694007606126014,0.4035391348205992,16.0,1035,8280,0.01547388781431335
190,4,2.7023561923469486,0.05898175543798294,13.892543859649123,912,6335,0.015249773720800355
191,4,2.6788527776174256,0.0514273231083135,15.874509803921569,1020,8096,0.015578517962631568
192,5,3.2783497970676034,0.4129056607149057,16.0,1031,8248,0.015533980582524273
193,4,2.672976530936493,0.055016925444463176,15.878095238095238,1050,8336,0.015136411094466385
194,5,3.2861088522870814,0.40707679833277716,16.0,1063,8504,0.015065913370998114
195,4,2.673902444363516,0.05218677935398245,15.872382851445662,1003,7960,0.015840701448548565
196,4,2.679688275309375,0.051461545261925756,15.876208897485494,1034,8208,0.015369030878495154
197,4,2.6629208835752274,0.05250056656831621,15.86652763295099,959,7608,0.016562137403915437
198,5,3.118986256532009,0.3935400959040391,18.0,1074,9666,0.016775396085740912
199,5,3.352969703029697,0.4314611933041458,16.0,1096,8768,0.014611872146118723
200,4,2.6763653263317617,0.05133931416613665,15.872509960159363,1004,7968,0.015825034855592585
201,4,2.7316336029207315,0.04883724215352865,13.892307692307693,910,6321,0.015283066768215283
202,4,2.7352757380037414,0.05017212634392479,13.90020366598778,982,6825,0.014169422697235253
203,4,2.74945215984417,0.0435540344307047,13.895522388059701,938,6517,0.014829799773809714
204,5,3.3290680466657587,0.4306711777010318,16.0,1050,8400,0.015252621544327931
205,5,3.297136159898821,0.41836229743507547,16.0,1039,8312,0.015414258188824664
206,5,3.4149065445164006,0.40181455925990356,14.0,975,6825,0.014373716632443533
207,5,3.291288891500426,0.42462012815500644,16.0,1011,8088,0.015841584158415845
208,4,2.6928299583512856,0.047123465445186086,15.878787878787879,1056,8384,0.015050983771362918
209,5,3.2688570998132596,0.39534854877432213,16.0,1069,8552,0.014981273408239702
210,5,3.2806254434646624,0.41576608711877716,16.0,998,7984,0.0160481444332999
211,4,2.6693934161736816,0.054784560295494555,15.875728155339806,1030,8176,0.015428307245228189
212,5,3.4371254787114216,0.41679189843887077,14.0,966,6762,0.014507772020725387
213,5,3.2795856878062692,0.4117316818947078,16.0,1033,8264,0.015503875968992248
214,5,3.366707741799643,0.4430906559053196,16.0,1077,8616,0.01486988847583643
215,4,2.698956798372893,0.0471319604367117,15.882998171846435,1094,8688,0.014531562828770755
216,5,3.4555556465247275,0.41162764938422597,14.0,989,6923,0.01417004048582996
217,4,2.695139959571042,0.048271079170292795,15.88159111933395,1081,8584,0.014705176962346252
218,4,2.7421751451163217,0.04477153979067838,13.895299145299145,936,6503,0.014861282508341333
219,5,3.313980040988252,0.42271776070698774,16.0,1038,8304,0.015429122468659595
220,4,2.6777229135634504,0.05080516288757936,15.873517786561266,1012,8032,0.015700808888784633
221,5,3.368138907088323,0.38311005580777313,14.0,943,6601,0.014861995753715497
222,5,3.279948755166222,0.39224552277286684,16.0,1084,8672,0.014773776546629732
223,4,2.6766717203582155,0.051264418745193725,15.875848690591658,1031,8184,0.015413445330671514
224,4,2.6666590298142716,0.05452785967023645,15.875,1024,8128,0.015518084066471158
225,4,2.7381588281043014,0.05040192486788284,13.898760330578513,968,6727,0.014373071696565164
226,5,3.1950532406775163,0.36912365288880805,16.0,1013,8104,0.0158102766798419
227,4,2.6938276869430053,0.047592293861522715,15.881371640407785,1079,8568,0.014732255696111118
228,5,3.4064893321841705,0.41521830829967815,14.0,903,6321,0.015521064301552107
229,4,2.7377148409499994,0.049458474575615856,13.895522388059701,938,6517,0.014829799773809714
230,5,3.3741695025117484,0.3788496688301634,14.0,969,6783,0.014462809917355374
231,5,3.2493269386871586,0.37889904736178703,16.0,1088,8704,0.01471941122355106
